행정구역명,TP_BUZ_NO,업소수
강원특별자치도 화천군,8004,4
강원특별자치도 화천군,8005,31
강원특별자치도 화천군,8006,82
강원특별자치도 화천군,8021,70
강원특별자치도 화천군,8301,20
강원특별자치도 횡성군,4010,55
강원특별자치도 횡성군,4020,95
강원특별자치도 횡성군,8001,589
강원특별자치도 횡성군,8004,12
강원특별자치도 횡성군,8005,39
강원특별자치도 횡성군,8006,176
강원특별자치도 횡성군,8021,88
강원특별자치도 횡성군,8301,32
경기도 가평군,4010,152
경기도 가평군,4020,274
경기도 가평군,8001,1060
경기도 가평군,8004,18
경기도 가평군,8005,50
경기도 가평군,8006,381
경기도 가평군,8021,154
경기도 가평군,8301,51
경기도 고양시 덕양구,4010,401
경기도 고양시 덕양구,4020,412
경기도 고양시 덕양구,8001,2205
경기도 고양시 덕양구,8004,200
경기도 고양시 덕양구,8005,209
경기도 고양시 덕양구,8006,1134
경기도 고양시 덕양구,8021,647
경기도 고양시 덕양구,8301,369
경기도 고양시 일산동구,4010,316
경기도 고양시 일산동구,4020,256
경기도 고양시 일산동구,8001,1600
경기도 고양시 일산동구,8004,186
경기도 고양시 일산동구,8005,150
경기도 고양시 일산동구,8006,1149
경기도 고양시 일산동구,8021,392
경기도 고양시 일산동구,8301,301
경기도 고양시 일산서구,4010,230
경기도 고양시 일산서구,4020,215
경기도 고양시 일산서구,8001,1092
경기도 고양시 일산서구,8004,99
경기도 고양시 일산서구,8005,108
경기도 고양시 일산서구,8006,630
경기도 고양시 일산서구,8021,385
경기도 고양시 일산서구,8301,211
경기도 과천시,4010,73
경기도 과천시,4020,56
경기도 과천시,8001,273
경기도 과천시,8004,36
경기도 과천시,8005,20
경기도 과천시,8006,241
경기도 과천시,8021,71
경기도 과천시,8301,54
경기도 광명시,4010,194
경기도 광명시,4020,211
경기도 광명시,8001,1214
경기도 광명시,8004,105
경기도 광명시,8005,123
경기도 광명시,8006,636
경기도 광명시,8021,361
경기도 광명시,8301,195
경기도 광주시,4010,457
경기도 광주시,4020,368
경기도 광주시,8001,2185
경기도 광주시,8004,115
경기도 광주시,8005,193
경기도 광주시,8006,963
경기도 광주시,8021,529
경기도 광주시,8301,228
경기도 구리시,4010,187
경기도 구리시,4020,189
경기도 구리시,8001,1065
경기도 구리시,8004,97
경기도 구리시,8005,99
경기도 구리시,8006,485
경기도 구리시,8021,272
경기도 구리시,8301,127
경기도 군포시,4010,232
경기도 군포시,4020,224
경기도 군포시,8001,1122
경기도 군포시,8004,92
경기도 군포시,8005,142
경기도 군포시,8006,618
경기도 군포시,8021,338
경기도 군포시,8301,176
경기도 김포시,4010,545
경기도 김포시,4020,510
경기도 김포시,8001,2630
경기도 김포시,8004,206
경기도 김포시,8005,254
경기도 김포시,8006,1334
경기도 김포시,8021,692
경기도 김포시,8301,361
경기도 동두천시,4010,109
경기도 동두천시,4020,152
경기도 동두천시,8001,704
경기도 동두천시,8004,33
경기도 동두천시,8005,55
경기도 동두천시,8006,279
경기도 동두천시,8021,150
경기도 동두천시,8301,68
경기도 부천시 소사구,4010,178
경기도 부천시 소사구,4020,233
경기도 부천시 소사구,8001,829
경기도 부천시 소사구,8004,56
경기도 부천시 소사구,8005,167
경기도 부천시 소사구,8006,417
경기도 부천시 소사구,8021,310
경기도 부천시 소사구,8301,151
경기도 부천시 오정구,4010,136
경기도 부천시 오정구,4020,178
경기도 부천시 오정구,8001,782
경기도 부천시 오정구,8004,24
경기도 부천시 오정구,8005,65
경기도 부천시 오정구,8006,308
경기도 부천시 오정구,8021,198
경기도 부천시 오정구,8301,76
경기도 부천시 원미구,4010,369
경기도 부천시 원미구,4020,406
경기도 부천시 원미구,8001,2527
경기도 부천시 원미구,8004,269
경기도 부천시 원미구,8005,308
경기도 부천시 원미구,8006,1257
경기도 부천시 원미구,8021,664
경기도 부천시 원미구,8301,348
경기도 성남시 수정구,4010,256
경기도 성남시 수정구,4020,240
경기도 성남시 수정구,8001,1227
경기도 성남시 수정구,8004,117
경기도 성남시 수정구,8005,132
경기도 성남시 수정구,8006,718
경기도 성남시 수정구,8021,323
경기도 성남시 수정구,8301,154
경기도 성남시 중원구,4010,208
경기도 성남시 중원구,4020,207
경기도 성남시 중원구,8001,1154
경기도 성남시 중원구,8004,93
경기도 성남시 중원구,8005,101
경기도 성남시 중원구,8006,465
경기도 성남시 중원구,8021,300
경기도 성남시 중원구,8301,155
경기도 수원시 권선구,4010,349
경기도 수원시 권선구,4020,330
경기도 수원시 권선구,8001,1785
경기도 수원시 권선구,8004,118
경기도 수원시 권선구,8005,157
경기도 수원시 권선구,8006,779
경기도 수원시 권선구,8021,494
경기도 수원시 권선구,8301,237
경기도 수원시 영통구,4010,309
경기도 수원시 영통구,4020,243
경기도 수원시 영통구,8001,1605
경기도 수원시 영통구,8004,262
경기도 수원시 영통구,8005,173
경기도 수원시 영통구,8006,1232
경기도 수원시 영통구,8021,476
경기도 수원시 영통구,8301,324
경기도 수원시 장안구,4010,241
경기도 수원시 장안구,4020,249
경기도 수원시 장안구,8001,1222
경기도 수원시 장안구,8004,106
경기도 수원시 장안구,8005,125
경기도 수원시 장안구,8006,741
경기도 수원시 장안구,8021,402
경기도 수원시 장안구,8301,199
경기도 수원시 팔달구,4010,274
경기도 수원시 팔달구,4020,280
경기도 수원시 팔달구,8001,1553
경기도 수원시 팔달구,8004,177
경기도 수원시 팔달구,8005,232
경기도 수원시 팔달구,8006,1068
경기도 수원시 팔달구,8021,397
경기도 수원시 팔달구,8301,217
경기도 시흥시,4010,617
경기도 시흥시,4020,634
경기도 시흥시,8001,3051
경기도 시흥시,8004,197
경기도 시흥시,8005,510
경기도 시흥시,8006,1312
경기도 시흥시,8021,978
경기도 시흥시,8301,350
경기도 안산시 단원구,4010,447
경기도 안산시 단원구,4020,480
경기도 안산시 단원구,8001,2265
경기도 안산시 단원구,8004,171
경기도 안산시 단원구,8005,353
경기도 안산시 단원구,8006,1102
경기도 안산시 단원구,8021,542
경기도 안산시 단원구,8301,281
경기도 안성시,4010,334
경기도 안성시,4020,285
경기도 안성시,8001,1787
경기도 안성시,8004,63
경기도 안성시,8005,170
경기도 안성시,8006,657
경기도 안성시,8021,376
경기도 안성시,8301,136
경기도 안양시 동안구,4010,284
경기도 안양시 동안구,4020,263
경기도 안양시 동안구,8001,1519
경기도 안양시 동안구,8004,191
경기도 안양시 동안구,8005,157
경기도 안양시 동안구,8006,971
경기도 안양시 동안구,8021,431
경기도 안양시 동안구,8301,265
경기도 안양시 만안구,4010,203
경기도 안양시 만안구,4020,247
경기도 안양시 만안구,8001,1191
경기도 안양시 만안구,8004,78
경기도 안양시 만안구,8005,138
경기도 안양시 만안구,8006,652
경기도 안양시 만안구,8021,336
경기도 안양시 만안구,8301,152
경기도 양주시,4010,339
경기도 양주시,4020,352
경기도 양주시,8001,1835
경기도 양주시,8004,81
경기도 양주시,8005,168
경기도 양주시,8006,712
경기도 양주시,8021,431
경기도 양주시,8301,194
경기도 양평군,4010,152
경기도 양평군,4020,232
경기도 양평군,8001,1098
경기도 양평군,8004,34
경기도 양평군,8005,67
경기도 양평군,8006,553
경기도 양평군,8021,201
경기도 양평군,8301,110
경기도 여주시,4010,194
경기도 여주시,4020,187
경기도 여주시,8001,1124
경기도 여주시,8004,44
경기도 여주시,8005,81
경기도 여주시,8006,409
경기도 여주시,8021,218
경기도 여주시,8301,107
경기도 연천군,4010,67
경기도 연천군,4020,126
경기도 연천군,8001,489
경기도 연천군,8004,8
경기도 연천군,8005,29
경기도 연천군,8006,161
경기도 연천군,8021,115
경기도 연천군,8301,36
경기도 오산시,4010,277
경기도 오산시,4020,263
경기도 오산시,8001,1351
경기도 오산시,8004,86
경기도 오산시,8005,182
경기도 오산시,8006,613
경기도 오산시,8021,393
경기도 오산시,8301,161
경기도 용인시 기흥구,4010,338
경기도 용인시 기흥구,4020,305
경기도 용인시 기흥구,8001,1509
경기도 용인시 기흥구,8004,161
경기도 용인시 기흥구,8005,158
경기도 용인시 기흥구,8006,1020
경기도 용인시 기흥구,8021,503
경기도 용인시 기흥구,8301,262
경기도 용인시 수지구,4010,232
경기도 용인시 수지구,4020,167
경기도 용인시 수지구,8001,981
경기도 용인시 수지구,8004,122
경기도 용인시 수지구,8005,102
경기도 용인시 수지구,8006,736
경기도 용인시 수지구,8021,332
경기도 용인시 수지구,8301,224
경기도 의왕시,4010,131
경기도 의왕시,4020,97
경기도 의왕시,8001,580
경기도 의왕시,8004,44
경기도 의왕시,8005,45
경기도 의왕시,8006,413
경기도 의왕시,8021,156
경기도 의왕시,8301,93
경기도 의정부시,4010,484
경기도 의정부시,4020,431
