행정구역명,행정구역코드,STRD_YYMM,GENDER_CD,AGE_CD,인구
강원특별자치도 삼척시,5123000000,202602,1,3,2531
강원특별자치도 삼척시,5123000000,202602,1,4,3628
강원특별자치도 삼척시,5123000000,202602,1,5,5893
강원특별자치도 삼척시,5123000000,202602,1,6,11703
강원특별자치도 삼척시,5123000000,202602,2,1,3431
강원특별자치도 삼척시,5123000000,202602,2,2,2384
강원특별자치도 삼척시,5123000000,202602,2,3,2084
강원특별자치도 삼척시,5123000000,202602,2,4,3171
강원특별자치도 삼척시,5123000000,202602,2,5,4616
강원특별자치도 삼척시,5123000000,202602,2,6,13735
강원특별자치도 삼척시,5123000000,202603,1,1,3807
강원특별자치도 삼척시,5123000000,202603,1,2,3358
강원특별자치도 삼척시,5123000000,202603,1,3,2531
강원특별자치도 삼척시,5123000000,202603,1,4,3619
강원특별자치도 삼척시,5123000000,202603,1,5,5853
강원특별자치도 삼척시,5123000000,202603,1,6,11756
강원특별자치도 삼척시,5123000000,202603,2,1,3555
강원특별자치도 삼척시,5123000000,202603,2,2,2379
강원특별자치도 삼척시,5123000000,202603,2,3,2078
강원특별자치도 삼척시,5123000000,202603,2,4,3138
강원특별자치도 삼척시,5123000000,202603,2,5,4600
강원특별자치도 삼척시,5123000000,202603,2,6,13776
강원특별자치도 삼척시,5123000000,202604,1,1,3797
강원특별자치도 삼척시,5123000000,202604,1,2,3365
강원특별자치도 삼척시,5123000000,202604,1,3,2540
강원특별자치도 삼척시,5123000000,202604,1,4,3608
강원특별자치도 삼척시,5123000000,202604,1,5,5873
강원특별자치도 삼척시,5123000000,202604,1,6,11775
강원특별자치도 삼척시,5123000000,202604,2,1,3527
강원특별자치도 삼척시,5123000000,202604,2,2,2394
강원특별자치도 삼척시,5123000000,202604,2,3,2075
강원특별자치도 삼척시,5123000000,202604,2,4,3128
강원특별자치도 삼척시,5123000000,202604,2,5,4592
강원특별자치도 삼척시,5123000000,202604,2,6,13787
강원특별자치도 삼척시,5123000000,202605,1,1,3772
강원특별자치도 삼척시,5123000000,202605,1,2,3372
강원특별자치도 삼척시,5123000000,202605,1,3,2539
강원특별자치도 삼척시,5123000000,202605,1,4,3604
강원특별자치도 삼척시,5123000000,202605,1,5,5861
강원특별자치도 삼척시,5123000000,202605,1,6,11792
강원특별자치도 삼척시,5123000000,202605,2,1,3497
강원특별자치도 삼척시,5123000000,202605,2,2,2387
강원특별자치도 삼척시,5123000000,202605,2,3,2079
강원특별자치도 삼척시,5123000000,202605,2,4,3130
강원특별자치도 삼척시,5123000000,202605,2,5,4584
강원특별자치도 삼척시,5123000000,202605,2,6,13791
강원특별자치도 삼척시,5123000000,202606,1,1,3737
강원특별자치도 삼척시,5123000000,202606,1,2,3357
강원특별자치도 삼척시,5123000000,202606,1,3,2523
강원특별자치도 삼척시,5123000000,202606,1,4,3594
강원특별자치도 삼척시,5123000000,202606,1,5,5840
강원특별자치도 삼척시,5123000000,202606,1,6,11821
강원특별자치도 삼척시,5123000000,202606,2,1,3483
강원특별자치도 삼척시,5123000000,202606,2,2,2378
강원특별자치도 삼척시,5123000000,202606,2,3,2085
강원특별자치도 삼척시,5123000000,202606,2,4,3124
강원특별자치도 삼척시,5123000000,202606,2,5,4568
강원특별자치도 삼척시,5123000000,202606,2,6,13784
강원특별자치도 속초시,5121000000,202601,1,1,5522
강원특별자치도 속초시,5121000000,202601,1,2,3811
강원특별자치도 속초시,5121000000,202601,1,3,4800
강원특별자치도 속초시,5121000000,202601,1,4,5425
강원특별자치도 속초시,5121000000,202601,1,5,7110
강원특별자치도 속초시,5121000000,202601,1,6,12697
강원특별자치도 속초시,5121000000,202601,2,1,5301
강원특별자치도 속초시,5121000000,202601,2,2,3035
강원특별자치도 속초시,5121000000,202601,2,3,3841
강원특별자치도 속초시,5121000000,202601,2,4,5293
강원특별자치도 속초시,5121000000,202601,2,5,7324
강원특별자치도 속초시,5121000000,202601,2,6,15427
강원특별자치도 속초시,5121000000,202602,1,1,5460
강원특별자치도 속초시,5121000000,202602,1,2,3765
강원특별자치도 속초시,5121000000,202602,1,3,4788
강원특별자치도 속초시,5121000000,202602,1,4,5384
강원특별자치도 속초시,5121000000,202602,1,5,7067
강원특별자치도 속초시,5121000000,202602,1,6,12729
강원특별자치도 속초시,5121000000,202602,2,1,5238
강원특별자치도 속초시,5121000000,202602,2,2,2999
강원특별자치도 속초시,5121000000,202602,2,3,3824
강원특별자치도 속초시,5121000000,202602,2,4,5248
강원특별자치도 속초시,5121000000,202602,2,5,7315
강원특별자치도 속초시,5121000000,202602,2,6,15435
강원특별자치도 속초시,5121000000,202603,1,1,5416
강원특별자치도 속초시,5121000000,202603,1,2,3717
강원특별자치도 속초시,5121000000,202603,1,3,4777
강원특별자치도 속초시,5121000000,202603,1,4,5366
강원특별자치도 속초시,5121000000,202603,1,5,7011
강원특별자치도 속초시,5121000000,202603,1,6,12780
강원특별자치도 속초시,5121000000,202603,2,1,5196
강원특별자치도 속초시,5121000000,202603,2,2,2945
강원특별자치도 속초시,5121000000,202603,2,3,3812
강원특별자치도 속초시,5121000000,202603,2,4,5213
강원특별자치도 속초시,5121000000,202603,2,5,7268
강원특별자치도 속초시,5121000000,202603,2,6,15481
강원특별자치도 속초시,5121000000,202604,1,1,5403
강원특별자치도 속초시,5121000000,202604,1,2,3689
강원특별자치도 속초시,5121000000,202604,1,3,4762
강원특별자치도 속초시,5121000000,202604,1,4,5338
강원특별자치도 속초시,5121000000,202604,1,5,6991
강원특별자치도 속초시,5121000000,202604,1,6,12807
강원특별자치도 속초시,5121000000,202604,2,1,5177
강원특별자치도 속초시,5121000000,202604,2,2,2916
