행정구역명,행정구역코드,구분수준,STRD_YYMM,총인구수,20대이하_인구,20대_인구,30대_인구,40대_인구,50대_인구,60대이상_인구
충청북도 청주시 흥덕구,4311300000,시군구,202601,292310.0,51029.0,36259.0,50262.0,46088.0,46638.0,62034.0
충청북도 청주시 청원구,4311400000,시군구,202601,186849.0,32681.0,21947.0,26803.0,30930.0,29236.0,45252.0
충청북도 충주시,4313000000,시군구,202601,206270.0,28111.0,19878.0,22543.0,27250.0,35978.0,72510.0
충청북도 제천시,4315000000,시군구,202601,127803.0,16721.0,12632.0,11315.0,15139.0,22419.0,49577.0
충청북도 보은군,4372000000,시군구,202601,30603.0,2734.0,1801.0,1801.0,2659.0,4859.0,16749.0
충청북도 옥천군,4373000000,시군구,202601,50000.0,5201.0,3717.0,3345.0,5266.0,8671.0,23800.0
충청북도 영동군,4374000000,시군구,202601,43136.0,4049.0,2947.0,2628.0,3835.0,7377.0,22300.0
충청북도 증평군,4374500000,시군구,202601,36656.0,5573.0,3600.0,4504.0,5196.0,6201.0,11582.0
충청북도 진천군,4375000000,시군구,202601,85969.0,14264.0,7524.0,10678.0,13812.0,14683.0,25008.0
충청북도 괴산군,4376000000,시군구,202601,38166.0,2967.0,2318.0,2181.0,3235.0,6443.0,21022.0
충청북도 음성군,4377000000,시군구,202601,94729.0,11534.0,8141.0,9744.0,12288.0,17705.0,35317.0
충청북도 단양군,4380000000,시군구,202601,26788.0,2284.0,1563.0,1587.0,2384.0,4617.0,14353.0
충청남도,4400000000,시도,202601,2136204.0,328372.0,211083.0,252246.0,312974.0,353387.0,678142.0
충청남도 천안시,4413000000,시군구,202601,664269.0,111549.0,84939.0,98281.0,109123.0,111510.0,148867.0
충청남도 천안시 동남구,4413100000,시군구,202601,262353.0,39506.0,32160.0,33114.0,39091.0,46082.0,72400.0
충청남도 천안시 서북구,4413300000,시군구,202601,401916.0,72043.0,52779.0,65167.0,70032.0,65428.0,76467.0
충청남도 공주시,4415000000,시군구,202601,99730.0,11189.0,10109.0,8017.0,10924.0,16232.0,43259.0
충청남도 보령시,4418000000,시군구,202601,91882.0,10939.0,6896.0,7440.0,11024.0,15852.0,39731.0
충청남도 아산시,4420000000,시군구,202601,360019.0,69327.0,37617.0,52374.0,64314.0,56197.0,80190.0
충청남도 서산시,4421000000,시군구,202601,172297.0,27238.0,15512.0,19465.0,25081.0,29832.0,55169.0
충청남도 논산시,4423000000,시군구,202601,106615.0,12932.0,8370.0,9061.0,12055.0,17994.0,46203.0
충청남도 계룡시,4425000000,시군구,202601,45885.0,9282.0,4415.0,5222.0,7831.0,8330.0,10805.0
충청남도 당진시,4427000000,시군구,202601,172414.0,28418.0,13930.0,20480.0,27592.0,28927.0,53067.0
충청남도 금산군,4471000000,시군구,202601,48804.0,5432.0,3108.0,2937.0,4863.0,8387.0,24077.0
충청남도 부여군,4476000000,시군구,202601,58223.0,5416.0,3578.0,3441.0,5368.0,9074.0,31346.0
충청남도 서천군,4477000000,시군구,202601,47172.0,4201.0,2805.0,2770.0,4323.0,7428.0,25645.0
충청남도 청양군,4479000000,시군구,202601,29958.0,2642.0,2249.0,1744.0,2553.0,4694.0,16076.0
충청남도 홍성군,4480000000,시군구,202601,100835.0,15456.0,8296.0,10525.0,13224.0,16224.0,37110.0
충청남도 예산군,4481000000,시군구,202601,78722.0,8716.0,5439.0,6556.0,8442.0,12871.0,36698.0
충청남도 태안군,4482500000,시군구,202601,59379.0,5635.0,3820.0,3933.0,6257.0,9835.0,29899.0
전라남도,4600000000,시도,202601,1778171.0,250509.0,158633.0,170256.0,226446.0,303272.0,669055.0
전라남도 목포시,4611000000,시군구,202601,201544.0,31515.0,20920.0,19415.0,30656.0,36185.0,62853.0
전라남도 여수시,4613000000,시군구,202601,262832.0,38238.0,25554.0,27141.0,35730.0,45778.0,90391.0
전라남도 순천시,4615000000,시군구,202601,275014.0,45972.0,29766.0,32595.0,38440.0,47971.0,80270.0
전라남도 나주시,4617000000,시군구,202601,117028.0,18933.0,10032.0,14540.0,16556.0,17407.0,39560.0
전라남도 광양시,4623000000,시군구,202601,155497.0,26658.0,15966.0,20035.0,22490.0,29790.0,40558.0
전라남도 담양군,4671000000,시군구,202601,44140.0,4477.0,3184.0,3169.0,4331.0,7527.0,21452.0
전라남도 곡성군,4672000000,시군구,202601,27426.0,2337.0,1848.0,1753.0,2419.0,4661.0,14408.0
전라남도 구례군,4673000000,시군구,202601,23866.0,2234.0,1504.0,1267.0,2169.0,4107.0,12585.0
전라남도 고흥군,4677000000,시군구,202601,59394.0,4900.0,3066.0,3059.0,4935.0,9023.0,34411.0
전라남도 보성군,4678000000,시군구,202601,36956.0,3312.0,2183.0,1990.0,3178.0,5789.0,20504.0
전라남도 화순군,4679000000,시군구,202601,60205.0,7146.0,5561.0,4776.0,6303.0,10867.0,25552.0
전라남도 장흥군,4680000000,시군구,202601,34141.0,3541.0,2280.0,2213.0,3269.0,5547.0,17291.0
전라남도 강진군,4681000000,시군구,202601,31804.0,3464.0,2135.0,2136.0,2956.0,4933.0,16180.0
전라남도 해남군,4682000000,시군구,202601,62171.0,6791.0,4174.0,3943.0,6277.0,10294.0,30692.0
전라남도 영암군,4683000000,시군구,202601,50051.0,5820.0,3972.0,3675.0,6203.0,9124.0,21257.0
전라남도 무안군,4684000000,시군구,202601,95710.0,18270.0,9292.0,11345.0,15182.0,14352.0,27269.0
전라남도 함평군,4686000000,시군구,202601,29394.0,2600.0,1810.0,1761.0,2602.0,4895.0,15726.0
전라남도 영광군,4687000000,시군구,202601,53713.0,7206.0,4519.0,5053.0,6023.0,8669.0,22243.0
전라남도 장성군,4688000000,시군구,202601,42975.0,4903.0,3405.0,3394.0,4566.0,7326.0,19381.0
전라남도 완도군,4689000000,시군구,202601,44535.0,5139.0,2739.0,2753.0,5066.0,7138.0,21700.0
전라남도 진도군,4690000000,시군구,202601,27925.0,3016.0,1913.0,1784.0,2765.0,4540.0,13907.0
전라남도 신안군,4691000000,시군구,202601,41850.0,4037.0,2810.0,2459.0,4330.0,7349.0,20865.0
경상북도,4700000000,시도,202601,2503544.0,342765.0,218799.0,252081.0,331832.0,433698.0,924369.0
경상북도 포항시,4711000000,시군구,202601,488683.0,74303.0,44070.0,54212.0,70223.0,84648.0,161227.0
경상북도 포항시 남구,4711100000,시군구,202601,214869.0,31294.0,19969.0,22199.0,31272.0,37474.0,72661.0
경상북도 포항시 북구,4711300000,시군구,202601,273814.0,43009.0,24101.0,32013.0,38951.0,47174.0,88566.0
경상북도 경주시,4713000000,시군구,202601,243781.0,30328.0,20164.0,23028.0,30198.0,44992.0,95071.0
경상북도 김천시,4715000000,시군구,202601,133444.0,19119.0,10525.0,12988.0,17151.0,22301.0,51360.0
경상북도 안동시,4717000000,시군구,202601,152149.0,20054.0,15036.0,14077.0,18412.0,25431.0,59139.0
경상북도 구미시,4719000000,시군구,202601,403649.0,71984.0,43761.0,57512.0,69795.0,71854.0,88743.0
경상북도 영주시,4721000000,시군구,202601,97021.0,12640.0,7777.0,7415.0,10955.0,16549.0,41685.0
경상북도 영천시,4723000000,시군구,202601,94943.0,10054.0,6347.0,7721.0,10074.0,16523.0,44224.0
경상북도 상주시,4725000000,시군구,202601,89795.0,10234.0,5891.0,5927.0,9109.0,14555.0,44079.0
경상북도 문경시,4728000000,시군구,202601,65189.0,7270.0,4459.0,4321.0,6837.0,10734.0,31568.0
경상북도 경산시,4729000000,시군구,202601,263381.0,37274.0,32657.0,30478.0,36475.0,46121.0,80376.0
경상북도 의성군,4773000000,시군구,202601,47875.0,3292.0,1927.0,2623.0,3708.0,7031.0,29294.0
경상북도 청송군,4775000000,시군구,202601,23325.0,1680.0,1162.0,1441.0,1859.0,3723.0,13460.0
경상북도 영양군,4776000000,시군구,202601,15997.0,1320.0,919.0,946.0,1363.0,2647.0,8802.0
경상북도 영덕군,4777000000,시군구,202601,32627.0,2674.0,1565.0,1820.0,2943.0,5284.0,18341.0
경상북도 청도군,4782000000,시군구,202601,40115.0,2987.0,1726.0,2133.0,3528.0,6274.0,23467.0
경상북도 고령군,4783000000,시군구,202601,29648.0,2525.0,1722.0,1847.0,2900.0,5244.0,15410.0
경상북도 성주군,4784000000,시군구,202601,40636.0,3216.0,1962.0,2740.0,3814.0,6853.0,22051.0
경상북도 칠곡군,4785000000,시군구,202601,104596.0,15317.0,8513.0,9793.0,17354.0,21134.0,32485.0
경상북도 예천군,4790000000,시군구,202601,53879.0,8257.0,3189.0,4951.0,6757.0,7477.0,23248.0
경상북도 봉화군,4792000000,시군구,202601,28252.0,2394.0,1275.0,1345.0,2286.0,4574.0,16378.0
경상북도 울진군,4793000000,시군구,202601,45853.0,5185.0,3504.0,3991.0,5033.0,8001.0,20139.0
경상북도 울릉군,4794000000,시군구,202601,8706.0,658.0,648.0,772.0,1058.0,1748.0,3822.0
경상남도,4800000000,시도,202601,3205787.0,492205.0,287448.0,341831.0,474160.0,579262.0,1030881.0
경상남도 창원시,4812000000,시군구,202601,990407.0,152585.0,97673.0,118757.0,150717.0,176969.0,293706.0
경상남도 창원시 의창구,4812100000,시군구,202601,207050.0,30950.0,21176.0,25286.0,30502.0,37809.0,61327.0
경상남도 창원시 성산구,4812300000,시군구,202601,247164.0,40017.0,28219.0,36256.0,36986.0,46684.0,59002.0
경상남도 창원시 마산합포구,4812500000,시군구,202601,175634.0,24671.0,15003.0,18453.0,25729.0,28324.0,63454.0
경상남도 창원시 마산회원구,4812700000,시군구,202601,176002.0,24711.0,15880.0,18169.0,25224.0,32004.0,60014.0
경상남도 창원시 진해구,4812900000,시군구,202601,184557.0,32236.0,17395.0,20593.0,32276.0,32148.0,49909.0
경상남도 진주시,4817000000,시군구,202601,335342.0,53747.0,37161.0,39054.0,46966.0,57292.0,101122.0
경상남도 통영시,4822000000,시군구,202601,116419.0,17022.0,8527.0,8797.0,17391.0,21749.0,42933.0
경상남도 사천시,4824000000,시군구,202601,107954.0,15439.0,8874.0,10352.0,15219.0,19508.0,38562.0
경상남도 김해시,4825000000,시군구,202601,533275.0,93189.0,53775.0,64513.0,86128.0,104738.0,130932.0
경상남도 밀양시,4827000000,시군구,202601,99087.0,10503.0,6542.0,7511.0,10939.0,16530.0,47062.0
경상남도 거제시,4831000000,시군구,202601,230871.0,43306.0,18450.0,22501.0,44397.0,45295.0,56922.0
경상남도 양산시,4833000000,시군구,202601,361349.0,62439.0,31968.0,44735.0,60240.0,63762.0,98205.0
경상남도 의령군,4872000000,시군구,202601,24591.0,1965.0,1290.0,1376.0,2154.0,4042.0,13764.0
경상남도 함안군,4873000000,시군구,202601,57548.0,7326.0,3640.0,3815.0,7087.0,10384.0,25296.0
경상남도 창녕군,4874000000,시군구,202601,54924.0,5555.0,2769.0,3585.0,5574.0,9148.0,28293.0
경상남도 고성군,4882000000,시군구,202601,47018.0,4985.0,2606.0,2529.0,4948.0,8215.0,23735.0
경상남도 남해군,4884000000,시군구,202601,40874.0,3780.0,2355.0,2156.0,3597.0,6713.0,22273.0
경상남도 하동군,4885000000,시군구,202601,39942.0,3236.0,2024.0,2110.0,3302.0,7121.0,22149.0
경상남도 산청군,4886000000,시군구,202601,32739.0,2470.0,1632.0,1635.0,2573.0,5664.0,18765.0
경상남도 함양군,4887000000,시군구,202601,35414.0,3601.0,1992.0,1983.0,3232.0,6107.0,18499.0
